Model,Silhouette,Davies-Bouldin,Training Time
BIRCH,0.7502480608911983,0.557362235978952,0.289752721786499
Spectral,0.7193316867729378,0.8083043546549321,3.4297807216644287
K-Means,0.5037667144034089,0.8237467686706926,0.03937525749206543
Agglomerative,0.4718293133985423,0.8898283540408702,0.5004559516906738
