Dataset,Model,Data Used,Samples,Silhouette,Davies-Bouldin,Training Time
Synthetic_Financial_datasets_log.csv,K-Means,sample_15000,15000,0.8696095443164952,0.4651233444485198,0.039259910583496094
Synthetic_Financial_datasets_log.csv,BIRCH,sample_15000,15000,0.932785609000848,0.3424878647108116,0.18187451362609863
Synthetic_Financial_datasets_log.csv,Agglomerative,sample_5000,5000,0.7993985603379008,0.5430937631884181,0.5080783367156982
Synthetic_Financial_datasets_log.csv,Spectral,sample_5000,5000,0.8229594612414414,0.5131660106628922,3.4394028186798096
credit_card_fraud_10k.csv,K-Means,sample_10000,10000,0.2961912465888325,1.21078912470631,0.041782379150390625
credit_card_fraud_10k.csv,BIRCH,sample_10000,10000,0.22593869001851644,1.4153690551235776,0.24104809761047363
credit_card_fraud_10k.csv,Agglomerative,sample_5000,5000,0.24701745031683803,1.3857732729691923,0.5172927379608154
credit_card_fraud_10k.csv,Spectral,sample_5000,5000,0.2713575308200677,1.1941859631885825,3.035351037979126
creditcard.csv,K-Means,sample_15000,15000,0.43740822337053953,0.8858123025418604,0.042867183685302734
creditcard.csv,BIRCH,sample_15000,15000,0.887004706386754,0.5992454803759645,0.30149173736572266
creditcard.csv,Agglomerative,sample_5000,5000,0.4536390607845728,0.8957105906877891,0.4991927146911621
creditcard.csv,Spectral,sample_5000,5000,0.9010493472538781,1.3790711114174343,3.8404672145843506
fraudTrain.csv,K-Means,sample_15000,15000,0.4733856842533657,0.7339301718871326,0.03501629829406738
fraudTrain.csv,BIRCH,sample_15000,15000,0.9233098043046044,0.03828706159339009,0.3626573085784912
fraudTrain.csv,Agglomerative,sample_5000,5000,0.4373727384115876,0.7968448200133375,0.503913164138794
fraudTrain.csv,Spectral,sample_5000,5000,0.8048606400448596,0.2749418941542409,3.05829119682312
transactions.csv,K-Means,sample_15000,15000,0.44223887348781193,0.82307889976964,0.03795051574707031
transactions.csv,BIRCH,sample_15000,15000,0.7822014947452689,0.39142171809101595,0.361691951751709
transactions.csv,Agglomerative,sample_5000,5000,0.4217187571418124,0.827719323345614,0.4738028049468994
transactions.csv,Spectral,sample_5000,5000,0.7964314545044425,0.6801567938515106,3.7753913402557373
