Dataset,Model,Data Used,Samples,Silhouette,Davies-Bouldin,Training Time
Synthetic_Financial_datasets_log.csv,BIRCH,sample_15000,15000,0.932785609000848,0.3424878647108116,0.18187451362609863
credit_card_fraud_10k.csv,BIRCH,sample_10000,10000,0.22593869001851644,1.4153690551235776,0.24104809761047363
creditcard.csv,BIRCH,sample_15000,15000,0.887004706386754,0.5992454803759645,0.30149173736572266
fraudTrain.csv,BIRCH,sample_15000,15000,0.9233098043046044,0.03828706159339009,0.3626573085784912
transactions.csv,BIRCH,sample_15000,15000,0.7822014947452689,0.39142171809101595,0.361691951751709
