Dataset,Model,Data Used,Samples,Silhouette,Davies-Bouldin,Training Time
Synthetic_Financial_datasets_log.csv,K-Means,sample_15000,15000,0.8696095443164952,0.4651233444485198,0.039259910583496094
credit_card_fraud_10k.csv,K-Means,sample_10000,10000,0.2961912465888325,1.21078912470631,0.041782379150390625
creditcard.csv,K-Means,sample_15000,15000,0.43740822337053953,0.8858123025418604,0.042867183685302734
fraudTrain.csv,K-Means,sample_15000,15000,0.4733856842533657,0.7339301718871326,0.03501629829406738
transactions.csv,K-Means,sample_15000,15000,0.44223887348781193,0.82307889976964,0.03795051574707031
